keys,en,es
WE_USED_TO_PLAY_THIS_GREAT_GAM_3FE7FA,We used to play this great game with Cecil and Kai.,"Antes, con Cecil y Kai solíamos jugar este juego de cartas increíble"
YOU_WOULD_FACE_IN_A_DEADLY_DUE_11F198,"You would face in a deadly duel,","Te enfrentabas a tu oponente en un duelo mortal,"
THE_OBJECTIVE_BEING_TO_REDUCE_535B30,the objective being to reduce your oponent health from 124500 to 0.,donde tenías que reducir su vida de 124500 a 0.
AND_EACH_CARD_WOULD_HAVE_VERY_B4C10C,And each card would have very important stats.,Y cada carta tenía stats [shake rate=20.0 level=5 connected=1]muy[/shake] importantes.
YOU_HAD_TO_BE_AWARE_OF_THEIR_A_674168,"You had to be aware of their Attack, Defense, Health, Hunger, Star Level,","Tenías que tener en cuenta su Ataque, Defensa, Vida, Hambre, Cantidad de Estrellas,"
POWER_RATING_POWER_SCALING_NUM_CD532B,"Power Rating, Power Scaling, Number of Uses, Year of Creation,","Power Rating, Power Scaling, Número de Usos, Año de Fabricación,"
THIRSTS_GAUGE_COMBINATION_STAT_C821FF,"Thirsts Gauge, Combination Status, Global Variable,","Barra de Sed, Estado de Combinación, Variable Global,"
CONSTANT_FIRE_YOU_ARE_NOT_PAYI_4967FF,"Constant Fire...you are not paying attention, are you?","Cadencia de Fuego...no estás prestando atención, cierto?"
ANYWAYS_IT_WAS_A_GREAT_GAME_A779A0,Anyways. It was a great game.,No importa. Es un juego fantástico.
CECIL_AND_KAI_LOVED_IT_D88BA1,Cecil and Kai loved it.,Cecil y Kai lo aman.
WHEN_WE_GET_BACK_ILL_PLAY_A_MA_B35115,"When we get back, ill play a match with Kai.","Cuando volvamos, le voy a decir a Kai que juguemos una partida."
